,method,pre,after,avg,range,profit,sharp,mdd
0,shap&slope_close0_kr,15,1,3,"15,25",2.26922431,1.066486489,0.182925897
0,shap&slope_close0_kr,15,1,4,"15,25",2.252968157,1.065451994,0.182259798
0,shap&slope_close0_kr,15,1,5,"15,25",2.516654467,1.135323006,0.178283768
0,shap&slope_close0_kr,15,1,6,"15,25",2.615371827,1.16455332,0.178002383
0,shap&slope_close0_kr,20,1,3,"15,25",2.489678742,1.126045397,0.191144026
0,shap&slope_close0_kr,20,1,4,"15,25",2.495087896,1.129003039,0.182259798
0,shap&slope_close0_kr,20,1,5,"15,25",2.729042286,1.187958849,0.178283768
0,shap&slope_close0_kr,20,1,6,"15,25",2.798953659,1.205840381,0.178002383
0,shap&slope_close0_kr,25,1,3,"15,25",2.410034579,1.113036397,0.217990872
0,shap&slope_close0_kr,25,1,4,"15,25",2.705037595,1.177439063,0.182259798
0,shap&slope_close0_kr,25,1,5,"15,25",2.897828019,1.226414929,0.178283768
0,shap&slope_close0_kr,25,1,6,"15,25",2.92767664,1.239084465,0.178002383
0,shap&slope_close0_kr,30,1,3,"15,25",2.848319103,1.217014874,0.219831869
0,shap&slope_close0_kr,30,1,4,"15,25",2.698062343,1.182489556,0.209292407
0,shap&slope_close0_kr,30,1,5,"15,25",2.827899911,1.215076989,0.180984752
0,shap&slope_close0_kr,30,1,6,"15,25",2.856236391,1.224372268,0.178002383
0,shap&slope_close0_kr,35,1,3,"15,25",2.741343401,1.186087042,0.182925897
0,shap&slope_close0_kr,35,1,4,"15,25",2.867902267,1.220965267,0.182259798
0,shap&slope_close0_kr,35,1,5,"15,25",2.921653456,1.24209389,0.178283768
0,shap&slope_close0_kr,35,1,6,"15,25",2.968916696,1.250023021,0.178002383
0,shap&slope_close0_kr,40,1,3,"15,25",2.544684847,1.141709205,0.191144026
0,shap&slope_close0_kr,40,1,4,"15,25",2.991087262,1.245409822,0.185700805
0,shap&slope_close0_kr,40,1,5,"15,25",3.150930046,1.287283906,0.178283768
0,shap&slope_close0_kr,40,1,6,"15,25",3.036713054,1.263100617,0.178002383
0,shap&slope_hlc_kr,15,1,3,"15,25",2.285975687,1.079467701,0.198701498
0,shap&slope_hlc_kr,15,1,4,"15,25",2.468531136,1.123054446,0.171259288
0,shap&slope_hlc_kr,15,1,5,"15,25",2.469954833,1.126759498,0.172874747
0,shap&slope_hlc_kr,15,1,6,"15,25",2.459897278,1.127652091,0.172694888
0,shap&slope_hlc_kr,20,1,3,"15,25",2.554054104,1.149871356,0.190840019
0,shap&slope_hlc_kr,20,1,4,"15,25",2.478261317,1.132433596,0.213520005
0,shap&slope_hlc_kr,20,1,5,"15,25",2.547354668,1.146965067,0.20712666
0,shap&slope_hlc_kr,20,1,6,"15,25",2.55046405,1.152407906,0.200953552
0,shap&slope_hlc_kr,25,1,3,"15,25",2.643900677,1.172473669,0.202224597
0,shap&slope_hlc_kr,25,1,4,"15,25",2.933543494,1.23875064,0.209755005
0,shap&slope_hlc_kr,25,1,5,"15,25",2.818729558,1.21517867,0.211610947
0,shap&slope_hlc_kr,25,1,6,"15,25",2.842233393,1.223203274,0.202920688
0,shap&slope_hlc_kr,30,1,3,"15,25",2.889422348,1.226443441,0.203604885
0,shap&slope_hlc_kr,30,1,4,"15,25",3.033028226,1.259065296,0.20361778
